validation,accuracy,loss
0,72.32526812082276,32.0181124032996
1,76.10486503289985,16.948922698796878
2,76.89238899538884,14.548635887424007
3,77.88715610590124,13.26994361075812
4,78.2601937723434,12.360202433985915
5,78.76534894565049,11.705369717725224
6,79.0503082741827,11.179509191881175
7,79.27309465830787,10.68848462241372
8,79.16947308429614,10.301681669291508
9,79.54769182943889,9.96405730227722
10,79.56064452619034,9.739178688441283
11,79.63058908864825,9.516532062160675
12,79.73939174136055,9.304560599277957
13,79.85337547277344,9.138280915270533
14,79.86891870887519,9.006075437282247
15,79.65649448215119,8.895838164413647
16,79.71607688720792,8.755369525039075
17,80.54504947930158,8.978020441491966
18,80.93103984249521,7.47317757580963
19,81.13569245116832,7.040474532389344
